"SKU","Name","Published","Is featured?","Visibility in catalog","Short description","Tax status","In stock?","Regular price","Categories","Meta: _pret_volum","Meta: _prag_volum","Meta: _unitate_pret","Meta: _moneda","Meta: _pret_container","Meta: _capacitate_kwh","Meta: _sursa_catalog","Meta: _perioada_eticheta","Meta: _valabil_de","Meta: _valabil_pana","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global","Attribute 4 name","Attribute 4 value(s)","Attribute 4 visible","Attribute 4 global","Attribute 5 name","Attribute 5 value(s)","Attribute 5 visible","Attribute 5 global","Attribute 6 name","Attribute 6 value(s)","Attribute 6 visible","Attribute 6 global"
"AIKO-A650-GRH66Dw","Aiko Solar Stellar 1P+66 AIKO-A650-GRH66Dw, BIFACIAL","1","0","visible","","taxable","1","93","Panouri Fotovoltaice","92","4 paleți","panou","EUR","la cerere","","Catalog Solar One 09.2026","Septembrie 2026","01.09.2026","30.09.2026","Brand","Aiko Solar","1","1","Disponibilitate","În stoc","1","1","Putere (Wp)","650","1","1","Tip panou","Bifacial","1","1","","","","","","","",""
"AIKO-A660-MDE72Dw","Aiko Solar Stellar 3N+72 AIKO-A660-MDE72Dw, BIFACIAL","1","0","visible","","taxable","1","94","Panouri Fotovoltaice","93","4 paleți","panou","EUR","la cerere","","Catalog Solar One 09.2026","Septembrie 2026","01.09.2026","30.09.2026","Brand","Aiko Solar","1","1","Disponibilitate","În stoc","1","1","Putere (Wp)","660","1","1","Tip panou","Bifacial","1","1","","","","","","","",""
"AIKO-A665-MDE72Dw","Aiko Solar Stellar 3N+72 AIKO-A665-MDE72Dw, BIFACIAL","1","0","visible","","taxable","1","96","Panouri Fotovoltaice","95","4 paleți","panou","EUR","la cerere","","Catalog Solar One 09.2026","Septembrie 2026","01.09.2026","30.09.2026","Brand","Aiko Solar","1","1","Disponibilitate","În stoc","1","1","Putere (Wp)","665","1","1","Tip panou","Bifacial","1","1","","","","","","","",""
"AIKO-A770-GRH78Dw","Aiko Solar Stellar 2N+78 AIKO-A770-GRH78Dw, BIFACIAL","1","0","visible","","taxable","1","119","Panouri Fotovoltaice","117","4 paleți","panou","EUR","la cerere","","Catalog Solar One 09.2026","Septembrie 2026","01.09.2026","30.09.2026","Brand","Aiko Solar","1","1","Disponibilitate","În stoc","1","1","Putere (Wp)","770","1","1","Tip panou","Bifacial","1","1","","","","","","","",""
"JKM425N-54HL4-V","Jinko Solar JKM425N-54HL4-V, Tiger Neo","1","0","visible","","taxable","1","57","Panouri Fotovoltaice","56","4 paleți","panou","EUR","la cerere","","Catalog Solar One 09.2026","Septembrie 2026","01.09.2026","30.09.2026","Brand","Jinko Solar","1","1","Disponibilitate","În stoc","1","1","Putere (Wp)","425","1","1","Tehnologie celulă","N-Type TOPCon","1","1","Tip panou","Monofacial","1","1","","","",""
"JMK475N-48QL6-DV","Jinko Solar JMK475N-48QL6-DV, Tiger Neo III","1","0","visible","","taxable","1","69","Panouri Fotovoltaice","68","4 paleți","panou","EUR","la cerere","","Catalog Solar One 09.2026","Septembrie 2026","01.09.2026","30.09.2026","Brand","Jinko Solar","1","1","Disponibilitate","În stoc","1","1","Putere (Wp)","475","1","1","Tehnologie celulă","N-Type TOPCon","1","1","Tip panou","Monofacial","1","1","","","",""
"JKM620N-66HL4M-BDV","Jinko Solar JKM620N-66HL4M-BDV, Tiger Neo III, BIFACIAL","1","0","visible","","taxable","1","82","Panouri Fotovoltaice","80","4 paleți","panou","EUR","la cerere","","Catalog Solar One 09.2026","Septembrie 2026","01.09.2026","30.09.2026","Brand","Jinko Solar","1","1","Disponibilitate","În stoc","1","1","Putere (Wp)","620","1","1","Tehnologie celulă","N-Type TOPCon","1","1","Tip panou","Bifacial","1","1","","","",""
"TW410MAP-M10-108-H","TW410MAP-M10-108-H","1","0","visible","","taxable","1","54","Panouri Fotovoltaice","53","4 paleți","panou","EUR","la cerere","","Catalog Solar One 09.2026","Septembrie 2026","01.09.2026","30.09.2026","Brand","Tongwei Solar","1","1","Disponibilitate","În stoc","1","1","Putere (Wp)","410","1","1","Tip panou","Monofacial","1","1","","","","","","","",""
"UL-590M-144ADGN","UL-590M-144ADGN, N-Type TOPCon BIFACIAL","1","0","visible","","taxable","1","75","Panouri Fotovoltaice","74","4 paleți","panou","EUR","la cerere","","Catalog Solar One 09.2026","Septembrie 2026","01.09.2026","30.09.2026","Brand","Ulica Solar","1","1","Disponibilitate","În stoc","1","1","Putere (Wp)","590","1","1","Tehnologie celulă","N-Type TOPCon","1","1","Tip panou","Bifacial","1","1","","","",""
"SUN-3.6K-SG03LP1-EU","SUN-3.6K-SG03LP1-EU","1","0","visible","","taxable","1","620","Invertoare > Hibride Monofazate","599","12 buc","buc","EUR","","","Catalog Solar One 09.2026","Septembrie 2026","01.09.2026","30.09.2026","Brand","Deye","1","1","Disponibilitate","În stoc","1","1","Putere (kW)","3.6","1","1","Faze","Monofazat","1","1","Tip invertor","Hibrid","1","1","Tensiune baterie","Low Voltage","1","1"
"SUN-5K-SG03LP1-EU","SUN-5K-SG03LP1-EU","1","0","visible","","taxable","1","620","Invertoare > Hibride Monofazate","599","12 buc","buc","EUR","","","Catalog Solar One 09.2026","Septembrie 2026","01.09.2026","30.09.2026","Brand","Deye","1","1","Disponibilitate","În stoc","1","1","Putere (kW)","5","1","1","Faze","Monofazat","1","1","Tip invertor","Hibrid","1","1","Tensiune baterie","Low Voltage","1","1"
"SUN-6K-SG05LP1-EU-AM2-P","SUN-6K-SG05LP1-EU-AM2-P","1","0","visible","","taxable","1","640","Invertoare > Hibride Monofazate","619","12 buc","buc","EUR","","","Catalog Solar One 09.2026","Septembrie 2026","01.09.2026","30.09.2026","Brand","Deye","1","1","Disponibilitate","În stoc","1","1","Putere (kW)","6","1","1","Faze","Monofazat","1","1","Tip invertor","Hibrid","1","1","Tensiune baterie","Low Voltage","1","1"
"SUN-8K-SG05LP1-EU-AM2","SUN-8K-SG05LP1-EU-AM2","1","0","visible","","taxable","1","899","Invertoare > Hibride Monofazate","856","12 buc","buc","EUR","","","Catalog Solar One 09.2026","Septembrie 2026","01.09.2026","30.09.2026","Brand","Deye","1","1","Disponibilitate","În stoc","1","1","Putere (kW)","8","1","1","Faze","Monofazat","1","1","Tip invertor","Hibrid","1","1","Tensiune baterie","Low Voltage","1","1"
"SUN-10K-SG02LP1-AM3","SUN-10K-SG02LP1-AM3","1","0","visible","","taxable","1","1280","Invertoare > Hibride Monofazate","1260","12 buc","buc","EUR","","","Catalog Solar One 09.2026","Septembrie 2026","01.09.2026","30.09.2026","Brand","Deye","1","1","Disponibilitate","În stoc","1","1","Putere (kW)","10","1","1","Faze","Monofazat","1","1","Tip invertor","Hibrid","1","1","Tensiune baterie","Low Voltage","1","1"
"SUN-12K-SG02LP1-AM3","SUN-12K-SG02LP1-AM3","1","0","visible","","taxable","1","1330","Invertoare > Hibride Monofazate","1320","12 buc","buc","EUR","","","Catalog Solar One 09.2026","Septembrie 2026","01.09.2026","30.09.2026","Brand","Deye","1","1","Disponibilitate","În stoc","1","1","Putere (kW)","12","1","1","Faze","Monofazat","1","1","Tip invertor","Hibrid","1","1","Tensiune baterie","Low Voltage","1","1"
"SUN-16K-SG01LP1-EU-AM3-P","SUN-16K-SG01LP1-EU-AM3-P","1","0","visible","","taxable","1","1680","Invertoare > Hibride Monofazate","1557","12 buc","buc","EUR","","","Catalog Solar One 09.2026","Septembrie 2026","01.09.2026","30.09.2026","Brand","Deye","1","1","Disponibilitate","În stoc","1","1","Putere (kW)","16","1","1","Faze","Monofazat","1","1","Tip invertor","Hibrid","1","1","Tensiune baterie","Low Voltage","1","1"
"SUN-5K-SG04LP3-EU","SUN-5K-SG04LP3-EU","1","0","visible","","taxable","1","1181","Invertoare > Hibride Trifazate","1171","12 buc","buc","EUR","","","Catalog Solar One 09.2026","Septembrie 2026","01.09.2026","30.09.2026","Brand","Deye","1","1","Disponibilitate","În stoc","1","1","Putere (kW)","5","1","1","Faze","Trifazat","1","1","Tip invertor","Hibrid","1","1","Tensiune baterie","Low Voltage","1","1"
"SUN-6K-SG05LP3-EU-SM2","SUN-6K-SG05LP3-EU-SM2","1","0","visible","","taxable","1","1232","Invertoare > Hibride Trifazate","1222","12 buc","buc","EUR","","","Catalog Solar One 09.2026","Septembrie 2026","01.09.2026","30.09.2026","Brand","Deye","1","1","Disponibilitate","În stoc","1","1","Putere (kW)","6","1","1","Faze","Trifazat","1","1","Tip invertor","Hibrid","1","1","Tensiune baterie","Low Voltage","1","1"
"SUN-8K-SG05LP3-EU-SM2","SUN-8K-SG05LP3-EU-SM2","1","0","visible","","taxable","1","1240","Invertoare > Hibride Trifazate","1230","12 buc","buc","EUR","","","Catalog Solar One 09.2026","Septembrie 2026","01.09.2026","30.09.2026","Brand","Deye","1","1","Disponibilitate","În stoc","1","1","Putere (kW)","8","1","1","Faze","Trifazat","1","1","Tip invertor","Hibrid","1","1","Tensiune baterie","Low Voltage","1","1"
"SUN-10K-SG05LP3-EU-SM2","SUN-10K-SG05LP3-EU-SM2","1","0","visible","","taxable","1","1299","Invertoare > Hibride Trifazate","1277","12 buc","buc","EUR","","","Catalog Solar One 09.2026","Septembrie 2026","01.09.2026","30.09.2026","Brand","Deye","1","1","Disponibilitate","În stoc","1","1","Putere (kW)","10","1","1","Faze","Trifazat","1","1","Tip invertor","Hibrid","1","1","Tensiune baterie","Low Voltage","1","1"
"SUN-12K-SG05LP3-EU-SM2","SUN-12K-SG05LP3-EU-SM2","1","0","visible","","taxable","1","1330","Invertoare > Hibride Trifazate","1310","12 buc","buc","EUR","","","Catalog Solar One 09.2026","Septembrie 2026","01.09.2026","30.09.2026","Brand","Deye","1","1","Disponibilitate","În stoc","1","1","Putere (kW)","12","1","1","Faze","Trifazat","1","1","Tip invertor","Hibrid","1","1","Tensiune baterie","Low Voltage","1","1"
"SUN-15K-SG05LP3-EU-SM2","SUN-15K-SG05LP3-EU-SM2","1","0","visible","","taxable","1","1549","Invertoare > Hibride Trifazate","1509","12 buc","buc","EUR","","","Catalog Solar One 09.2026","Septembrie 2026","01.09.2026","30.09.2026","Brand","Deye","1","1","Disponibilitate","În stoc","1","1","Putere (kW)","15","1","1","Faze","Trifazat","1","1","Tip invertor","Hibrid","1","1","Tensiune baterie","Low Voltage","1","1"
"SUN-20K-SG05LP3-EU-SM2","SUN-20K-SG05LP3-EU-SM2","1","0","visible","","taxable","1","2040","Invertoare > Hibride Trifazate","1990","12 buc","buc","EUR","","","Catalog Solar One 09.2026","Septembrie 2026","01.09.2026","30.09.2026","Brand","Deye","1","1","Disponibilitate","În stoc","1","1","Putere (kW)","20","1","1","Faze","Trifazat","1","1","Tip invertor","Hibrid","1","1","Tensiune baterie","Low Voltage","1","1"
"SUN-10K-SG01HP3-EU-AM2","SUN-10K-SG01HP3-EU-AM2","1","0","visible","","taxable","1","1212","Invertoare > Hibride Trifazate","1190","12 buc","buc","EUR","","","Catalog Solar One 09.2026","Septembrie 2026","01.09.2026","30.09.2026","Brand","Deye","1","1","Disponibilitate","În stoc","1","1","Putere (kW)","10","1","1","Faze","Trifazat","1","1","Tip invertor","Hibrid","1","1","Tensiune baterie","High Voltage","1","1"
"SUN-15K-SG01HP3-EU-AM2","SUN-15K-SG01HP3-EU-AM2","1","0","visible","","taxable","1","1291","Invertoare > Hibride Trifazate","1250","12 buc","buc","EUR","","","Catalog Solar One 09.2026","Septembrie 2026","01.09.2026","30.09.2026","Brand","Deye","1","1","Disponibilitate","În stoc","1","1","Putere (kW)","15","1","1","Faze","Trifazat","1","1","Tip invertor","Hibrid","1","1","Tensiune baterie","High Voltage","1","1"
"SUN-20K-SG01HP3-EU-AM2","SUN-20K-SG01HP3-EU-AM2","1","0","visible","","taxable","1","1550","Invertoare > Hibride Trifazate","1540","12 buc","buc","EUR","","","Catalog Solar One 09.2026","Septembrie 2026","01.09.2026","30.09.2026","Brand","Deye","1","1","Disponibilitate","În stoc","1","1","Putere (kW)","20","1","1","Faze","Trifazat","1","1","Tip invertor","Hibrid","1","1","Tensiune baterie","High Voltage","1","1"
"SUN-25K-SG01HP3-EU-AM2","SUN-25K-SG01HP3-EU-AM2","1","0","visible","","taxable","1","1559","Invertoare > Hibride Trifazate","1549","12 buc","buc","EUR","","","Catalog Solar One 09.2026","Septembrie 2026","01.09.2026","30.09.2026","Brand","Deye","1","1","Disponibilitate","În stoc","1","1","Putere (kW)","25","1","1","Faze","Trifazat","1","1","Tip invertor","Hibrid","1","1","Tensiune baterie","High Voltage","1","1"
"SUN-30K-SG02HP3-EU-AM3","SUN-30K-SG02HP3-EU-AM3","1","0","visible","","taxable","1","2250","Invertoare > Hibride Trifazate","2199","12 buc","buc","EUR","","","Catalog Solar One 09.2026","Septembrie 2026","01.09.2026","30.09.2026","Brand","Deye","1","1","Disponibilitate","În stoc","1","1","Putere (kW)","30","1","1","Faze","Trifazat","1","1","Tip invertor","Hibrid","1","1","Tensiune baterie","High Voltage","1","1"
"SUN-50K-SG01HP3-EU-BM4","SUN-50K-SG01HP3-EU-BM4","1","0","visible","","taxable","1","3350","Invertoare > Hibride Trifazate","3300","12 buc","buc","EUR","","","Catalog Solar One 09.2026","Septembrie 2026","01.09.2026","30.09.2026","Brand","Deye","1","1","Disponibilitate","În stoc","1","1","Putere (kW)","50","1","1","Faze","Trifazat","1","1","Tip invertor","Hibrid","1","1","Tensiune baterie","High Voltage","1","1"
"SUN-80K-SG02HP3-EU","SUN-80K-SG02HP3-EU","1","0","visible","","taxable","1","4750","Invertoare > Hibride Trifazate","4700","12 buc","buc","EUR","","","Catalog Solar One 09.2026","Septembrie 2026","01.09.2026","30.09.2026","Brand","Deye","1","1","Disponibilitate","În stoc","1","1","Putere (kW)","80","1","1","Faze","Trifazat","1","1","Tip invertor","Hibrid","1","1","Tensiune baterie","High Voltage","1","1"
"SUN-125K-SG02HP3-EU-GM10","SUN-125K-SG02HP3-EU-GM10","1","0","visible","","taxable","1","6750","Invertoare > Hibride Trifazate","","","buc","EUR","","","Catalog Solar One 09.2026","Septembrie 2026","01.09.2026","30.09.2026","Brand","Deye","1","1","Disponibilitate","În stoc","1","1","Putere (kW)","125","1","1","Faze","Trifazat","1","1","Tip invertor","Hibrid","1","1","Tensiune baterie","High Voltage","1","1"
"SUN-50K-G03","SUN-50K-G03","1","0","visible","","taxable","1","1780","Invertoare > On-Grid","","","buc","EUR","","","Catalog Solar One 09.2026","Septembrie 2026","01.09.2026","30.09.2026","Brand","Deye","1","1","Disponibilitate","În stoc","1","1","Putere (kW)","50","1","1","Faze","Trifazat","1","1","Tip invertor","On-Grid","1","1","","","",""
"SUN-60K-G03","SUN-60K-G03","1","0","visible","","taxable","1","2380","Invertoare > On-Grid","","","buc","EUR","","","Catalog Solar One 09.2026","Septembrie 2026","01.09.2026","30.09.2026","Brand","Deye","1","1","Disponibilitate","În stoc","1","1","Putere (kW)","60","1","1","Faze","Trifazat","1","1","Tip invertor","On-Grid","1","1","","","",""
"SUN-110K-G03","SUN-110K-G03","1","0","visible","","taxable","1","2900","Invertoare > On-Grid","","","buc","EUR","","","Catalog Solar One 09.2026","Septembrie 2026","01.09.2026","30.09.2026","Brand","Deye","1","1","Disponibilitate","În stoc","1","1","Putere (kW)","110","1","1","Faze","Trifazat","1","1","Tip invertor","On-Grid","1","1","","","",""
"SUN-125K-G01P03-EU-AM8","SUN-125K-G01P03-EU-AM8","1","0","visible","","taxable","1","3500","Invertoare > On-Grid","","","buc","EUR","","","Catalog Solar One 09.2026","Septembrie 2026","01.09.2026","30.09.2026","Brand","Deye","1","1","Disponibilitate","În stoc","1","1","Putere (kW)","125","1","1","Faze","Trifazat","1","1","Tip invertor","On-Grid","1","1","","","",""
"GB-LM4.0","Deye GB-LM4.0, 4 kWh","1","0","visible","","taxable","1","792","Stocare Energie > Acumulatori High-Voltage","772","12 buc","buc","EUR","","4","Catalog Solar One 09.2026","Septembrie 2026","01.09.2026","30.09.2026","Brand","Deye","1","1","Disponibilitate","În stoc","1","1","Tensiune baterie","High Voltage","1","1","Capacitate (kWh)","sub 6 kWh","1","1","","","","","","","",""
"CONTROL-BOX-GB-L-BASE","Control Box GB-L + BASE","1","0","visible","","taxable","1","530","Stocare Energie > Accesorii Stocare","","","buc","EUR","","","Catalog Solar One 09.2026","Septembrie 2026","01.09.2026","30.09.2026","Brand","Deye","1","1","Disponibilitate","În stoc","1","1","Tensiune baterie","High Voltage","1","1","","","","","","","","","","","",""
"DEYE-BOS-G-PRO-5-12-KWH","Deye BOS-G PRO, 5.12 kWh","1","0","visible","","taxable","1","680","Stocare Energie > Acumulatori High-Voltage","670","12 buc","buc","EUR","","5.12","Catalog Solar One 09.2026","Septembrie 2026","01.09.2026","30.09.2026","Brand","Deye","1","1","Disponibilitate","În stoc","1","1","Tensiune baterie","High Voltage","1","1","Capacitate (kWh)","sub 6 kWh","1","1","","","","","","","",""
"BOS-G-PDU-2","Control Box BOS-G-PDU-2","1","0","visible","","taxable","1","680","Stocare Energie > Accesorii Stocare","","","buc","EUR","","","Catalog Solar One 09.2026","Septembrie 2026","01.09.2026","30.09.2026","Brand","Deye","1","1","Disponibilitate","În stoc","1","1","Tensiune baterie","High Voltage","1","1","","","","","","","","","","","",""
"DEYE-BOS-A-7-68-KWH","Deye BOS-A, 7.68 kWh","1","0","visible","","taxable","1","970","Stocare Energie > Acumulatori High-Voltage","950","12 buc","buc","EUR","","7.68","Catalog Solar One 09.2026","Septembrie 2026","01.09.2026","30.09.2026","Brand","Deye","1","1","Disponibilitate","În stoc","1","1","Tensiune baterie","High Voltage","1","1","Capacitate (kWh)","6 - 15 kWh","1","1","","","","","","","",""
"CONTROL-BOX-BOS-A-HVB-750V-160A-EU-HV","Control Box BOS-A HVB 750V/160A-EU - HV","1","0","visible","","taxable","1","950","Stocare Energie > Accesorii Stocare","","","buc","EUR","","","Catalog Solar One 09.2026","Septembrie 2026","01.09.2026","30.09.2026","Brand","Deye","1","1","Disponibilitate","În stoc","1","1","Tensiune baterie","High Voltage","1","1","","","","","","","","","","","",""
"PRO-A3","Deye BOS-B PRO-A3, 16,08 kWh","1","0","visible","","taxable","1","1600","Stocare Energie > Acumulatori High-Voltage","","","buc","EUR","","16.08","Catalog Solar One 09.2026","Septembrie 2026","01.09.2026","30.09.2026","Brand","Deye","1","1","Disponibilitate","În stoc","1","1","Tensiune baterie","High Voltage","1","1","Capacitate (kWh)","15 - 30 kWh","1","1","","","","","","","",""
