"sku","fisier","sursa","verificare"
"SUN-30K-SG02HP3-EU-AM3","SUN-30K-SG02HP3-EU-AM3.webp","https://www.solarone.ro/image/cache/catalog/output_images/invertor-hibrid-trifazat-deye-sun-30k-sg01hp3-eu-bm3-30kw-1000x1000.webp","cod+cifra"
"SUN-50K-SG01HP3-EU-BM4","SUN-50K-SG01HP3-EU-BM4.webp","https://www.solarone.ro/image/cache/catalog/output_images/invertor-hibrid-trifazat-deye-sun-50k-sg01hp3-eu-bm4-50kw-1000x1000.webp","cod+cifra"
"SUN-80K-SG02HP3-EU","SUN-80K-SG02HP3-EU.webp","https://www.solarone.ro/image/cache/catalog/output_images/invertor-hibrid-trifazat-deye-sun-80k-sg02hp3-eu-80kw-1000x1000.webp","cod+cifra"
"SUN-125K-SG02HP3-EU-GM10","SUN-125K-SG02HP3-EU-GM10.webp","https://www.solarone.ro/image/cache/catalog/output_images/invertor-hibrid-trifazat-deye-sun-125k-sg02hp3-eu-gm10-125kw-1000x1000.webp","cod+cifra"
"SUN-50K-G03","SUN-50K-G03.webp","https://www.solarone.ro/image/cache/catalog/output_images/invertor-on-grid-deye-trifazat-sun-50k-g03-50kw-1000x1000.webp","cod+cifra"
"SUN-110K-G03","SUN-110K-G03.webp","https://www.solarone.ro/image/cache/catalog/output_images/invertor-on-grid-deye-trifazat-sun-100k-g03-100kw-1000x1000.webp","cod+cifra"
"BOS-G-PDU-2","BOS-G-PDU-2.webp","https://www.solarone.ro/image/cache/catalog/output_images/control-box-unitate-de-control-pentru-baterie-deye-bos-g-pdu-2-high-voltage-1000x1000.webp","doar cod"
"DEYE-BOS-A-7-68-KWH","DEYE-BOS-A-7-68-KWH.webp","https://www.solarone.ro/image/cache/catalog/output_images/acumulator-deye-bos-a-7-68kwh-high-voltage-1000x1000.webp","cod+cifra"
"GE-F60-EU","GE-F60-EU.webp","https://www.solarone.ro/image/cache/catalog/output_images/sistem-stocare-61-4kwh-deye-ge-f60-eu-1000x1000.webp","doar cod"
"SUN-MPPT-L01-EU-AM8","SUN-MPPT-L01-EU-AM8.webp","https://www.solarone.ro/image/cache/catalog/output_images/modul-mppt-deye-de-200-kwp-cu-8-trackere-sun-mppt-l01-eu-am8-1000x1000.webp","doar cod"
"SUN-125K-PCS01HP3","SUN-125K-PCS01HP3.webp","https://www.solarone.ro/image/cache/catalog/output_images/convertor-bidirectional-pcs-deye-sun-125k-pcs01hp3-de-125-kw-pentru-sisteme-comerciale-si-industriale-1000x1000.webp","cod+cifra"
"SE-G5.1PRO-B","SE-G5.1PRO-B.webp","https://www.solarone.ro/image/cache/catalog/output_images/acumulator-deye-se-g5-1pro-b-5-12-kwh-low-voltage-1000x1000.webp","cod+cifra"
"AE-FS2.0-2H2","AE-FS2.0-2H2.webp","https://www.solarone.ro/image/cache/catalog/output_images/sistem-deye-all-in-one-ae-fs2-0-2h2-7-cu-baterie-lifepo4-2kwh-sistem-solar-balcon-1000x1000.webp","cod+cifra"
"Smart-TX01","Smart-TX01.webp","https://www.solarone.ro/image/cache/catalog/output_images/sun-smart-tx01-1-0-1000x1000.webp","doar cod"
"SUN-EVSE11K01-EU-AC","SUN-EVSE11K01-EU-AC.webp","https://www.solarone.ro/image/cache/catalog/output_images/statie-de-incarcare-auto-deye-11-kw-sun-evse11k01-eu-ac-trifazata-lora-wi-fi-ip67-1000x1000.webp","cod+cifra"
"SDM630MCT","SDM630MCT.webp","https://www.solarone.ro/image/cache/catalog/output_images/smart-meter-eastron-sdm630mct-mod-mid-trifazat-1000x1000.webp","doar cod"
"FLA48230-EU","FLA48230-EU.webp","https://www.solarone.ro/image/cache/catalog/output_images/acumulator-felicity-fla48230-eu-11-8-kwh-lifepo4-low-voltage-1000x1000.webp","cod+cifra"
"FLB48230WG1-H","FLB48230WG1-H.webp","https://www.solarone.ro/image/cache/catalog/output_images/acumulator-felicity-flb48230wg1-h-11-7-kwh-lifepo4-low-voltage-cu-incalzire-1-1000x1000.webp","cod+cifra"
"DYNESS-POWERBOX-G2-10-24KWH","DYNESS-POWERBOX-G2-10-24KWH.webp","https://www.solarone.ro/image/cache/catalog/output_images/acumulator-dyness-powerbox-g2-10-24-kwh-51-2v-lifepo4-1000x1000.webp","cod+cifra"
"M16S200BL-V1","M16S200BL-V1.webp","https://www.solarone.ro/image/cache/catalog/output_images/acumulator-pcenersys-10-24-kwh-51-2v-m16s200bl-v1-lifepo4-0-1000x1000.webp","cod+cifra"
"LV51200H","LV51200H.webp","https://www.solarone.ro/image/cache/catalog/output_images/acumulator-hailei-lv51200h-10-24-kwh-low-voltage-lifepo4-3-1000x1000.webp","cod+cifra"
"SPF5000","SPF5000.webp","https://www.solarone.ro/image/cache/catalog/output_images/invertor-growatt-spf5000es-monofazat-off-grid-5kw-1000x1000.webp","doar cod"
"SPF6000","SPF6000.webp","https://www.solarone.ro/image/cache/catalog/output_images/invertor-growatt-spf6000-es-plus-monofazat-off-grid-6kw-growatt-shine-wifi-x-dongle-wlan-1000x1000.webp","doar cod"
"GROWATT-SPH-5000TL-BL-UP","GROWATT-SPH-5000TL-BL-UP.webp","https://www.solarone.ro/image/cache/catalog/output_images/invertor-growatt-sph-5000tl-bl-up-5kw-monofazat-hibrid-1000x1000.webp","cod+cifra"
"GROWATT-SPH-10000TL-HU","GROWATT-SPH-10000TL-HU.webp","https://www.solarone.ro/image/cache/catalog/output_images/invertor-growatt-spm-10000tl-hu-10-kw-monofazat-hibrid-1000x1000.webp","cod+cifra"
"GROWATT-SPH-8000-TL3-BH-UP","GROWATT-SPH-8000-TL3-BH-UP.webp","https://www.solarone.ro/image/cache/catalog/output_images/invertor-growatt-sph-8000tl3-bh-up-hibrid-trifazat-8kw-1000x1000.webp","doar cod"
"GROWATT-SPH-10000-TL3-BH-UP","GROWATT-SPH-10000-TL3-BH-UP.webp","https://www.solarone.ro/image/cache/catalog/output_images/invertor-growatt-sph-10000tl3-bh-up-10kw-hibrid-trifazat-1000x1000.webp","cod+cifra"
"GROWATT-WIT-15K-X-HU","GROWATT-WIT-15K-X-HU.webp","https://www.solarone.ro/image/cache/catalog/output_images/invertor-growatt-15kw-wit-15k-x-hu-hibrid-trifazat-1000x1000.webp","cod+cifra"
"AXE-5-0L-C1","AXE-5-0L-C1.webp","https://www.solarone.ro/image/cache/catalog/output_images/acumulator-growatt-axe-5-0l-c1-lifepo4-5-kwh-1000x1000.webp","cod+cifra"
"HOPE-5-0L-B1","HOPE-5-0L-B1.webp","https://www.solarone.ro/image/cache/catalog/output_images/Acumulator-Growatt-HOPE-5-0L-B1-LiFePo4-5-12-kWh-1000x1000.webp","cod+cifra"
"HOPE-16-0LM-A1","HOPE-16-0LM-A1.webp","https://www.solarone.ro/image/cache/catalog/output_images/acumulator-growatt-hope-16.0lm-a1-16-kwh-lifepo4-51-2v-1000x1000.webp","cod+cifra"
"GROWATT-THOR-03AS-S","GROWATT-THOR-03AS-S.webp","https://www.solarone.ro/image/cache/catalog/output_images/statie-de-incarcare-auto-growatt-3-kw-thor-03as-s-1000x1000.webp","cod+cifra"
"S6-EH1P6K-L-PLUS","S6-EH1P6K-L-PLUS.webp","https://www.solarone.ro/image/cache/catalog/output_images/invertor-solis-s6-eh3p12k02-nv-yd-l-trifazat-hibrid--low-voltage-1000x1000.webp","cod+cifra"
"JS3PL15K","JS3PL15K.webp","https://www.solarone.ro/image/cache/catalog/output_images/invertor-solis-pytes-js3pl15k-hibrid-trifazat-15kw-1000x1000.webp","cod+cifra"
"SINA-DE-MONTARE-TRAPEZOIDALA-ISO-290MM","SINA-DE-MONTARE-TRAPEZOIDALA-ISO-290MM.webp","https://www.solarone.ro/image/cache/catalog/output_images/sina-de-montare-trapezoidala-iso-290mm-1000x1000.webp","doar cod"
"SINA-DE-MONTARE-TRAPEZOIDALA-ISO-540MM","SINA-DE-MONTARE-TRAPEZOIDALA-ISO-540MM.webp","https://www.solarone.ro/image/cache/catalog/output_images/sina-de-montare-trapezoidala-iso-540mm-1000x1000.webp","doar cod"
"SINA-PROFIL-ALUMINIU-MINI-RAIL-380MM","SINA-PROFIL-ALUMINIU-MINI-RAIL-380MM.webp","https://www.solarone.ro/image/cache/catalog/output_images/sina-profil-aluminiu-mini-rail-380mm-1000x1000.webp","doar cod"
"SINA-ALUMINIU-ISO-4300-MM-TRAPEZOIDALA","SINA-ALUMINIU-ISO-4300-MM-TRAPEZOIDALA.webp","https://www.solarone.ro/image/cache/catalog/output_images/sina-aluminiu-iso-4300-mm-trapezoidala-1000x1000.webp","doar cod"
"SINA-ALUMINIU-ISO-CU-PRINDERE-LATERALA-LA-2-4-M","SINA-ALUMINIU-ISO-CU-PRINDERE-LATERALA-LA-2-4-M.webp","https://www.solarone.ro/image/cache/catalog/output_images/sina-aluminiu-iso-cu-prindere-laterala-la-2-4-m-1000x1000.webp","doar cod"
"SINA-ALUMINIU-ISO-CU-PRINDERE-LATERALA-LA-3-5-M","SINA-ALUMINIU-ISO-CU-PRINDERE-LATERALA-LA-3-5-M.webp","https://www.solarone.ro/image/cache/catalog/output_images/sina-aluminiu-iso-cu-prindere-laterala-la-3-5-m-1000x1000.webp","doar cod"
"SUPORT-U-PENTRU-ACOPERIS-METALIC","SUPORT-U-PENTRU-ACOPERIS-METALIC.webp","https://www.solarone.ro/image/cache/catalog/output_images/suport-u-iso-pentru-acoperis-metalic-1000x1000.webp","doar cod"
"SURUB-ISO-CU-DUBLU-FILET-HANGERBOARD-PLACA-MONTAJ","SURUB-ISO-CU-DUBLU-FILET-HANGERBOARD-PLACA-MONTAJ.webp","https://www.solarone.ro/image/cache/catalog/output_images/surub-iso-cu-dublu-filet-hangerboard-placa-montaj-1000x1000.webp","doar cod"
"CLEMA-DE-CAPAT","CLEMA-DE-CAPAT.webp","https://www.solarone.ro/image/cache/catalog/output_images/clema-de-prindere-iso-capat-1000x1000.webp","doar cod"
"CLEMA-DE-MIJLOC","CLEMA-DE-MIJLOC.webp","https://www.solarone.ro/image/cache/catalog/output_images/clema-de-prindere-iso-mijloc-1000x1000.webp","doar cod"
"CABLU-SOLAR-6MM-TAMBUR-500M-ROSU","CABLU-SOLAR-6MM-TAMBUR-500M-ROSU.webp","https://www.solarone.ro/image/cache/catalog/output_images/cablu-solar-6mm2-tambur-500m-rosu-1000x1000.webp","doar cod"
"CABLU-SOLAR-6MM-TAMBUR-500M-NEGRU","CABLU-SOLAR-6MM-TAMBUR-500M-NEGRU.webp","https://www.solarone.ro/image/cache/catalog/output_images/cablu-solar-6mm2-tambur-500m-negru-1000x1000.webp","doar cod"
