"sku","fisier","sursa","titlu_magazin","verificare"
"2002558","2002558.webp","https://www.solarone.ro/image/cache/catalog/output_images/dome-clema-de-mijloc-k2-30-50-mm-1000x1000.webp","Dome-Clema de mijloc K2 30-50 mm","cod magazin: 2002558"
"2002559","2002559.webp","https://www.solarone.ro/image/cache/catalog/output_images/dome-clema-de-capat-30-50-mm-1000x1000.webp","Dome-Clema de capat 30-50 mm","cod magazin: 2002559"
"2003126","2003126.webp","https://www.solarone.ro/image/cache/catalog/output_images/dome-suport-k2-protectie-1000x1000.webp","Dome Suport K2 protectie","cod magazin: 2003126"
"2004103","2004103.webp","https://www.solarone.ro/image/cache/catalog/output_images/dome-pravant-extralung-2045-2398-mm-1000x1000.webp","Dome Pravant  Extralung 2045 - 2398 mm","cod magazin: 2004103"
"2003250","2003250.webp","https://www.solarone.ro/image/cache/catalog/output_images/dome-paravant-k2-lung-1448-1779-mm-1000x1000.webp","Dome Paravant K2 Lung  1779 - 2150 mm","cod magazin: 2003250"
"2004174","2004174.webp","https://www.solarone.ro/image/cache/catalog/output_images/dome-6-15-suport-superior-k2-pentru-terasa-15-grade-inclinatie-1000x1000.webp","Dome 6.15 suport superior K2 pentru terasa (15 grade inclinatie)","cod magazin: 2004174"
"2004175","2004175.webp","https://www.solarone.ro/image/cache/catalog/output_images/dome-6-15-suport-inferior-k2-pentru-terasa-15-grade-inclinatie-1000x1000.webp","Dome 6.15 suport inferior K2 pentru terasa (15 grade inclinatie)","cod magazin: 2004175"
"2004125","2004125.webp","https://www.solarone.ro/image/cache/catalog/output_images/dome-6-10-suport-superior-k2-pentru-terasa-10-grade-inclinatie-1000x1000.webp","Dome 6.10 suport superior K2 pentru terasa (10 grade inclinatie)","cod magazin: 2004125"
"2003243","2003243.webp","https://www.solarone.ro/image/cache/catalog/output_images/dome-6-10-suport-inferior-k2-pentru-terasa-10-grade-inclinatie-1000x1000.webp","Dome 6.10 suport inferior K2 pentru terasa (10 grade inclinatie)","cod magazin: 2003243"
"SE-F16","SE-F16.webp","https://www.solarone.ro/image/cache/catalog/output_images/acumulator-deye-se-f16-c-16-kwh-lifepo4-1000x1000.webp","Acumulator Deye SE-F16 C, 16 kWh, LiFePo4","cod magazin: SE-F16 C"
"SE-F12","SE-F12.webp","https://www.solarone.ro/image/cache/catalog/media/acumulator-deye-se-f12-c-12-kwh-lifepo4-1000x1000h.webp","Acumulator Deye SE-F12 C, 11.8 kWh, LiFePo4","cod magazin: SE-F12 C"
"GE-F256","GE-F256.webp","https://www.solarone.ro/image/cache/catalog/output_images/sistem-cabinet-baterie-257-23-kwh-deye-ge-f256-bc-2-a3-pentru-stocare-comerciala-si-industriala-1-1000x1000.webp","Sistem cabinet baterie 257,23 kWh Deye GE-F256-BC-2-A3 pentru stocare comercială și industrială","cod magazin: GE-F256-BC-2-A3"
"GB-LM4.0","GB-LM4.0.webp","https://www.solarone.ro/image/cache/catalog/output_images/acumulator-deye-gb-lm4-0-4kwh-high-voltage-1000x1000.webp","Acumulator Deye GB-LM4.0, 4kWh high-voltage","cod magazin: GB-LM4.0"
"PRO-A3","PRO-A3.webp","https://www.solarone.ro/image/cache/catalog/output_images/sistem-stocare-241-15-kw-deye-seria-bos-b-pro-a3-1000x1000.webp","Sistem stocare 241.15 KW Deye seria BOS-B PRO-A3 cu unitate PDU","cod magazin: BOS-B PRO-A3"
"CONTROL-BOX-GB-L-BASE","CONTROL-BOX-GB-L-BASE.webp","https://www.solarone.ro/image/cache/catalog/output_images/control-box-unitate-de-control-deye-gb-l-base-1000x1000.webp","Control Box (Unitate de control) DEYE GB-L+BASE","cod magazin: GB-L+BASE"
"CONTROL-BOX-BOS-A-HVB-750V-160A-EU-HV","CONTROL-BOX-BOS-A-HVB-750V-160A-EU-HV.webp","https://www.solarone.ro/image/cache/catalog/output_images/control-box-unitate-de-control-deye-bos-a-hvb-750v-160a-eu-hv-1-1000x1000.webp","Control Box (Unitate de control) DEYE BOS-A HVB 750V/160A-EU - HV","cod magazin: HVB 750V\/160A-EU"
"2002870","2002870.webp","https://www.solarone.ro/image/cache/catalog/output_images/colier-plastic-pentru-cabluri-1000x1000.webp","Colier plastic pentru cabluri","cod magazin: 2002870"
"2002514","2002514.webp","https://www.solarone.ro/image/cache/catalog/output_images/clema-de-capat-universala-k2-single-rail-solid-rail-base-rail-1000x1000.webp","Clema de capat universala K2 Single Rail, Solid Rail, Base Rail","cod magazin: 2002514"
"1001164","1001164.webp","https://www.solarone.ro/image/cache/catalog/output_images/basic-rail-suport-fixare-k2-pe-tabla-trapezidala-1000x1000.webp","Basic Rail-Suport fixare K2 pe tabla trapezoidala","cod magazin: 1001164"
"1003571","1003571.webp","https://www.solarone.ro/image/cache/catalog/output_images/basic-rail-conector-sina-k2-1000x1000.webp","Basic Rail-Conector Sina K2","cod magazin: 1003571"
"1003558","1003558.webp","https://www.solarone.ro/image/cache/catalog/output_images/basic-rail-blocator-sina-k2-trapezidala-1000x1000.webp","Basic Rail-Blocator sina K2 trapezoidala","cod magazin: 1003558"
"2003191","2003191.webp","https://www.solarone.ro/image/cache/catalog/output_images/basic-rail-inaltator-k2-sina-1000x1000.webp","Basic Rail Inaltator K2 Sina","cod magazin: 2003191"
"AIKO-A465-MAH54Mw","AIKO-A465-MAH54Mw.webp","https://www.solarone.ro/image/cache/catalog/output_images/panou-fotovoltaic-460w-aiko-neostar-2p-aiko-a460-mah54dw-n-type-abc-1000x1000.webp","Panou fotovoltaic 465W Aiko, Neostar 2P,AIKO-A465-MAH54Mw, N-Type ABC","cod magazin: AIKO-A465-MAH54Mw"
